measurement_date	invoice_status	agency	aging_bucket	sum_of_trips	sum_of_dollars
2015-11-25	Hold-NEMHS	SE2	0-30	61	3257.25
2015-12-02	Manual Tracking	MP1	60-90	4	252
2015-12-08	Hold-NEMHS	KE3	365+	7	783
2015-12-08	Hold-NEMHS	MP1	0-30	62	4010.5
2015-12-23	Hold-NEMHS	LOG	90-180	662	14313.58
2016-01-13	Hold-NEMHS	MID	30-60	5	280.52
2016-01-12	Hold-NEMHS	CDS	30-60	174	3855.5
2015-12-29	Hold-NEMHS	MRC	0-30	2	158.75
2016-01-17	Hold-NEMHS	SE2	30-60	2	0
2015-11-29	Write off	PVT	90-180	5	543.85
2015-11-30	Write off	MID	90-180	65	2399.01
2015-11-30	Hold-NEMHS	PE1	180-365	2	210
2015-12-30	Hold-NEMHS	SS1	180-365	23	1595
2015-12-13	Hold-NEMHS	SK2	180-365	2	266
2016-01-08	Manual Tracking	MP1	90-180	7	439
2016-01-07	Hold-NEMHS	LOG	180-365	905	19388.1
2015-12-30	Hold-NEMHS	TL1	180-365	10	1376.08
2016-01-05	Billed	VA1	180-365	1	83.5
2015-12-15	Hold-NEMHS	TL1	90-180	12	2813.1
2016-01-12	Hold-NEMHS	PB1	365+	1	161
2016-01-02	Write off	LOG	30-60	1	18.25
2015-12-22	Hold-NEMHS	LE2	90-180	1	11.85
2016-01-14	Write off	TL1	180-365	2	160.84
2015-12-02	Hold-NEMHS	BR3	30-60	6	598
2015-12-06	Hold-NEMHS	WC1	30-60	2	163
2015-12-26	Hold-NEMHS	LOG	60-90	65	1170.21
2015-12-07	Hold-NEMHS	MID	180-365	4	87.67
2016-01-02	Manual Tracking	LE2	30-60	1	98.8
2015-12-30	Hold-NEMHS	SE2	60-90	2	0
2016-01-13	Hold-NEMHS	SY4	90-180	14	798
2015-12-16	Hold-NEMHS	CDS	30-60	141	3033.4
2015-12-28	Hold-NEMHS	PR1	365+	1	61
2015-11-24	Hold-NEMHS	SE1	30-60	1	49
2015-11-26	Hold-NEMHS	CDS	0-30	167	3613.8
2016-01-07	Hold-NEMHS	SY4	180-365	40	2968
2016-01-05	Hold-NEMHS	BR7	0-30	4	198.5
2016-01-05	Hold-NEMHS	SS1	180-365	23	1595
2015-12-07	Hold-NEMHS	PVT	180-365	966	70052
2015-12-19	Hold-NEMHS	SK2	180-365	2	266
2015-12-24	Hold-NEMHS	BR7	0-30	2	103.5
2015-12-27	Hold-NEMHS	SR1	90-180	4	228
2016-01-08	Hold-NEMHS	SR3	90-180	22	1342
2015-12-21	Billed	MP1	0-30	13	801
2016-01-05	Hold-NEMHS	TL1	180-365	10	1376.08
2016-01-06	Hold-NEMHS	TL1	0-30	8	0
2015-12-08	Hold-NEMHS	MR5	30-60	2	137.5
2015-12-15	Manual Tracking	KE3	60-90	1	69
2015-12-01	Hold-NEMHS	SR1	30-60	26	1066
2015-12-25	Hold-NEMHS	WS3	60-90	1	57
2016-01-15	Hold-NEMHS	BR7	180-365	4	160.7
2015-12-17	Hold-NEMHS	SR3	90-180	6	342
2015-11-26	Rebill	LOG	180-365	23	544.57
2015-12-15	Hold-NEMHS	SS1	90-180	4	276
2016-01-01	Hold-NEMHS	LOG	0-30	280	7067.83
2015-12-11	Hold-NEMHS	SR3	90-180	6	342
2015-12-26	Write off	PVT	180-365	66	5210
2015-12-26	Hold-NEMHS	LOG	0-30	228	1072.6
2015-12-19	Hold-NEMHS	SY4	30-60	4	228
2016-01-08	Hold-NEMHS	FA1	180-365	2	138
2016-01-14	Hold-NEMHS	FA1	180-365	2	138
2016-01-10	Hold-NEMHS	CDS	90-180	131	3067.55
2015-12-26	Hold-NEMHS	SR1	90-180	4	228
2015-12-12	Manual Tracking	MP1	90-180	2	146
2016-01-09	Billed	LOG	60-90	49	1686.66
2015-11-28	Write off	MP1	180-365	1	45
2016-01-15	Billed	LOG	60-90	45	1569.45
2015-12-09	Hold-NEMHS	RR6	180-365	1	85
2016-01-06	Hold-NEMHS	CR5	365+	2	102
2015-12-24	Hold-NEMHS	PVT	0-30	314	20869.86
2015-12-28	Manual Tracking	MP1	180-365	19	1091
2015-12-20	Manual Tracking	PVT	30-60	1	45
2015-12-22	Hold-NEMHS	PR1	365+	1	61
2015-11-30	Hold-NEMHS	MP1	365+	5	921
2016-01-13	Hold-NEMHS	ND2	180-365	12	628
2016-01-03	Billed	WC1	30-60	1	57
2016-01-17	Manual Tracking	PVT	60-90	1	45
2015-12-16	Billed	MP1	0-30	24	1652
2015-12-17	Hold-NEMHS	FA1	180-365	1	61
2015-11-26	Hold-NEMHS	ND2	90-180	14	682
2015-12-09	Hold-NEMHS	PVT	365+	23	3187.6
2015-12-09	Hold-NEMHS	WS3	30-60	1	57
2015-12-09	Hold-NEMHS	MR5	30-60	2	137.5
2015-12-05	Write off	PVT	0-30	19	1707.4
2016-01-06	Hold-NEMHS	ER2	180-365	2	226
2016-01-16	Hold-NEMHS	MR4	365+	3	179
2016-01-02	Hold-NEMHS	SK2	180-365	2	266
2015-12-29	Hold-NEMHS	ER2	180-365	2	226
2015-11-24	Rebill	LOG	90-180	16	393.91
2015-12-09	Hold-NEMHS	MP1	0-30	62	4010.5
2015-12-05	Hold-NEMHS	BR7	90-180	4	125.4
2015-12-15	Manual Tracking	PVT	90-180	9	431.25
2015-12-30	Billed	VA1	180-365	1	83.5
