measurement_date	invoice_status	agency	aging_bucket	sum_of_trips	sum_of_dollars
2015-11-28	Billed	LOG	60-90	75	1917.08
2015-12-19	Hold-NEMHS	MP1	365+	6	998
2015-12-07	Hold-NEMHS	SY4	60-90	8	452
2015-12-25	Billed	LOG	0-30	6726	142338.3
2015-11-28	Hold-NEMHS	SE2	180-365	50	3362
2016-01-17	Hold-NEMHS	TL1	30-60	7	982.92
2015-12-12	Write off	SR3	365+	3	163
2016-01-08	Hold-NEMHS	SY4	60-90	2	114
2015-11-25	Hold-NEMHS	TL1	0-30	4	271.08
2015-12-01	Hold-NEMHS	TL1	0-30	2	150.72
2015-12-28	Write off	PVT	365+	90	4523.95
2016-01-05	Hold-NEMHS	LOG	90-180	678	14421.85
2016-01-16	Hold-NEMHS	CDR	60-90	608	20790.75
2015-12-24	Hold-NEMHS	KE3	30-60	6	525.6
2015-12-31	Hold-NEMHS	SE2	180-365	61	3953
2015-12-22	Hold-NEMHS	HL1	180-365	1	57
2015-11-27	Billed	LOG	365+	29	101.5
2015-12-20	Hold-NEMHS	BR3	90-180	11	1003
2015-12-20	Hold-NEMHS	MR5	180-365	18	1614
2015-11-26	Hold-NEMHS	MR4	180-365	26	1315.8
2015-12-09	Hold-NEMHS	LOG	0-30	426	9367.38
2015-12-11	Hold-NEMHS	NB1	0-30	4	532
2015-11-24	Hold-NEMHS	PVT	60-90	205	15047.4
2015-12-13	Hold-NEMHS	PE1	180-365	2	210
2015-11-30	Hold-NEMHS	PVT	60-90	215	15313.8
2015-12-15	Hold-NEMHS	SE2	90-180	18	1010
2016-01-12	Hold-NEMHS	MRC	90-180	6	423.85
2015-12-03	Hold-NEMHS	BR3	60-90	2	178
2015-11-27	Hold-NEMHS	BR3	60-90	26	2306
2015-12-20	Hold-NEMHS	SE2	0-30	34	1761
2015-11-26	Hold-NEMHS	FAC	180-365	1	65
2016-01-10	Hold-NEMHS	MP1	365+	3	187
2015-11-23	Hold-NEMHS	PB1	0-30	15	1271.5
2015-12-10	Hold-NEMHS	SS1	180-365	17	1161
2015-11-30	Hold-NEMHS	PB1	180-365	73	6109.2
2015-12-06	Hold-NEMHS	SR3	180-365	36	2184
2015-12-27	Hold-NEMHS	MID	60-90	1	53
2016-01-03	Hold-NEMHS	SS4	180-365	1	109
2015-12-07	Hold-NEMHS	SR3	0-30	37	2279
2015-12-04	Hold-NEMHS	SE2	180-365	52	3460
2015-12-16	Hold-NEMHS	CDR	90-180	327	6257.25
2016-01-09	Hold-NEMHS	KE3	60-90	1	153
2015-12-22	Hold-NEMHS	SR1	180-365	6	342
2016-01-15	Hold-NEMHS	SR3	180-365	13	765
2015-12-07	Hold-NEMHS	SG2	180-365	2	98
2015-12-21	Manual Tracking	PVT	90-180	4	202.25
2016-01-04	Write off	BR7	365+	1	49
2016-01-06	Write off	PVT	90-180	8	708.7
2015-12-27	Manual Tracking	MP1	30-60	1	73
2016-01-15	Hold-NEMHS	KE3	180-365	7	511
2015-12-17	Hold-NEMHS	SS1	180-365	19	1299
2015-12-19	Hold-NEMHS	SR3	180-365	32	1972
2015-12-13	Hold-NEMHS	SR3	180-365	36	2184
2015-12-11	Hold-NEMHS	SS1	180-365	17	1161
2015-12-04	Hold-NEMHS	SY4	90-180	28	1700
2016-01-06	Billed	TL1	180-365	1	257.52
2015-12-31	Billed	TL1	180-365	1	257.52
2015-11-28	Hold-NEMHS	SY4	90-180	28	1700
2016-01-14	Hold-NEMHS	LOG	0-30	730	17729.55
2015-12-17	Hold-NEMHS	MRC	180-365	23	1464.7
2015-12-20	Hold-NEMHS	SR1	180-365	6	342
2015-12-07	Hold-NEMHS	PR1	180-365	5	365
2016-01-16	Hold-NEMHS	MP1	365+	10	610
2015-11-28	Hold-NEMHS	NB1	0-30	4	564
2015-11-29	Hold-NEMHS	KE3	90-180	52	3668
2015-11-29	Hold-NEMHS	PR1	180-365	5	365
2015-12-12	Hold-NEMHS	SR3	180-365	36	2184
2015-12-28	Hold-NEMHS	SS4	180-365	1	109
2015-12-09	Hold-NEMHS	ND2	0-30	21	991.5
2015-11-29	Write off	PVT	180-365	36	2186.85
2016-01-11	Hold-NEMHS	KE3	365+	11	1059
2015-12-18	Billed	LOG	60-90	118	3239.42
2015-12-09	Hold-NEMHS	MR5	0-30	4	251
2015-12-15	Hold-NEMHS	PN1	365+	1	42.2
2015-12-14	Hold-NEMHS	MP1	365+	6	998
2015-11-27	Hold-NEMHS	SE2	180-365	50	3362
2016-01-05	Billed	MP1	90-180	1	153
2015-12-23	Manual Tracking	MID	0-30	1	0
2015-12-05	Hold-NEMHS	SE2	180-365	52	3460
2016-01-12	Write off	MID	180-365	64	2513.21
2016-01-17	Hold-NEMHS	MR5	180-365	16	1464
2015-12-10	Hold-NEMHS	MR4	180-365	27	1340.6
2015-12-15	Hold-NEMHS	PB1	30-60	8	592
2016-01-01	Write off	PVT	180-365	79	6295
2015-12-03	Billed	LOG	365+	33	180.5
2015-11-23	Write off	TL1	90-180	2	160.84
2015-12-23	Rebill	LOG	365+	7	181.03
2015-12-19	Write off	LOG	365+	4	131.5
2015-12-30	Hold-NEMHS	FE4	180-365	5	485
2016-01-12	Hold-NEMHS	ND2	30-60	14	638
2016-01-02	Hold-NEMHS	PE1	180-365	2	210
2015-12-27	Write off	MID	90-180	68	2519.27
2015-11-27	Hold-NEMHS	SY4	90-180	28	1700
2016-01-15	Hold-NEMHS	LOG	0-30	37	915.13
2016-01-06	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-15	Hold-NEMHS	TL1	0-30	2	65.24
2015-12-03	F	LOG	60-90	5	465
2015-12-23	Manual Tracking	PN1	30-60	1	25.67
2016-01-11	Hold-NEMHS	CDR	60-90	519	19084.5
2015-12-01	Hold-NEMHS	BR3	90-180	17	1601
2016-01-12	Manual Tracking	MP1	60-90	1	73
2015-12-04	Hold-NEMHS	MRC	30-60	12	871.4
2015-11-23	Hold-NEMHS	LOG	180-365	902	19317.54
2015-12-09	Hold-NEMHS	BR3	90-180	11	1003
2016-01-04	Hold-NEMHS	ND2	30-60	21	967
2016-01-04	Manual Tracking	MP1	60-90	1	73
2015-12-03	Rebill	LOG	365+	6	135.23
2015-12-28	Write off	SE2	365+	2	98
2016-01-15	Manual Tracking	LOG	60-90	33	776.43
2015-12-17	Manual Tracking	LOG	30-60	54	1075.02
2016-01-10	Hold-NEMHS	MID	180-365	3	62
2016-01-03	Write off	LOG	60-90	2	36.5
2016-01-15	Hold-NEMHS	ER2	365+	2	226
2015-12-01	Hold-NEMHS	MR5	0-30	6	395.5
2016-01-09	Write off	SG2	90-180	2	82
2016-01-17	Hold-NEMHS	BR3	0-30	6	582
2015-12-19	Manual Tracking	LOG	365+	35	806.78
2015-12-14	Write off	SR3	180-365	12	772
2015-12-04	Write off	PVT	30-60	2	194
2015-11-27	Hold-NEMHS	FAC	180-365	1	65
2015-12-17	Hold-NEMHS	MRC	30-60	10	777.4
2015-12-19	Rebill	PVT	180-365	2	110
2015-12-04	Hold-NEMHS	BR3	60-90	2	178
2016-01-05	Hold-NEMHS	HE6	30-60	7	642
2015-12-31	Billed	LOG	180-365	258	4908.77
2015-12-14	Write off	LOG	90-180	95	2018.46
2015-12-27	Manual Tracking	LOG	365+	35	806.78
2015-12-28	Write off	SR3	180-365	14	902
2016-01-16	Write off	PVT	365+	77	5373.99
2015-12-05	Rebill	PVT	180-365	3	151
2015-12-25	Hold-NEMHS	MRC	30-60	9	492.4
2015-12-27	Write off	PVT	365+	90	4523.95
2016-01-08	Billed	LOG	180-365	261	4938.13
2015-11-27	Write off	MID	60-90	3	120.26
2015-11-27	Hold-NEMHS	MR4	180-365	27	1340.6
2016-01-03	Hold-NEMHS	CDR	60-90	813	23689.75
2015-12-10	Manual Tracking	LOG	30-60	116	1891.71
2015-12-24	Hold-NEMHS	SS1	180-365	19	1299
2015-12-11	Hold-NEMHS	BR3	60-90	2	178
2016-01-01	Hold-NEMHS	SR3	180-365	20	1196
2016-01-17	Hold-NEMHS	SS4	180-365	1	109
2015-11-29	Hold-NEMHS	LOG	180-365	1007	21852.55
2015-12-27	Hold-NEMHS	MP1	365+	2	134
2015-12-29	Hold-NEMHS	CDS	0-30	198	3934.3
2016-01-09	Hold-NEMHS	WC1	180-365	2	205
2015-11-27	Hold-NEMHS	MRC	180-365	23	1464.7
2016-01-03	Hold-NEMHS	SE2	0-30	14	882
2015-12-02	Hold-NEMHS	CDR	90-180	201	3470
2016-01-14	Hold-NEMHS	WC1	30-60	10	747.75
2015-11-23	Hold-NEMHS	SR3	0-30	14	790
2015-12-20	Manual Tracking	MP1	30-60	1	73
2015-12-02	Rebill	LOG	180-365	30	719.76
2015-12-01	Hold-NEMHS	VA1	90-180	9	996.08
2016-01-16	Write off	LOG	90-180	1923	39118.96
2015-12-17	Hold-NEMHS	SE2	180-365	45	3073
2015-11-26	Hold-NEMHS	ND2	0-30	17	810.75
2015-12-02	Hold-NEMHS	ND2	0-30	19	892.75
2015-12-08	Hold-NEMHS	PVT	60-90	207	14931.89
2016-01-12	Hold-NEMHS	WC1	0-30	4	268
2015-12-12	Write off	TL1	180-365	2	160.84
2015-12-29	Rebill	LOG	180-365	29	673.96
2015-12-18	Hold-NEMHS	CDR	180-365	3	142.5
2016-01-09	Manual Tracking	LOG	365+	36	806.78
2015-12-29	Hold-NEMHS	TL1	30-60	3	215.96
2016-01-17	Write off	BR7	60-90	4	212
2015-12-05	Write off	LOG	365+	4	131.5
2015-12-14	Write off	PVT	365+	86	4369.4
2015-12-28	Hold-NEMHS	MR5	180-365	17	1541
2015-12-22	Hold-NEMHS	MR5	180-365	17	1541
2015-11-25	Hold-NEMHS	PB1	30-60	17	1225
2015-12-16	Hold-NEMHS	KE3	30-60	6	525.6
2015-12-07	Hold-NEMHS	PB1	0-30	20	1794
2015-12-01	Hold-NEMHS	SE2	90-180	22	1206
2015-12-01	Hold-NEMHS	PB1	30-60	14	990
2015-11-29	Hold-NEMHS	ND2	180-365	19	1315
2015-12-09	Hold-NEMHS	TL1	0-30	1	65.24
2015-12-28	Hold-NEMHS	BR3	90-180	10	878
2015-11-30	Hold-NEMHS	SY4	60-90	6	334
2016-01-11	Hold-NEMHS	SS4	180-365	1	109
2015-12-14	Hold-NEMHS	SR1	180-365	6	342
2015-12-26	Hold-NEMHS	SR3	180-365	32	1972
2015-12-04	Hold-NEMHS	NB1	0-30	4	532
2015-11-28	Write off	SR3	365+	3	163
2015-11-23	Hold-NEMHS	PR1	180-365	6	426
2015-12-16	F	LOG	60-90	2	186
2015-12-21	Hold-NEMHS	MP1	365+	6	998
2015-12-05	Hold-NEMHS	SY4	90-180	28	1700
2016-01-04	Hold-NEMHS	CDS	0-30	149	2853.9
2016-01-02	Hold-NEMHS	MP1	365+	3	187
2015-12-28	Hold-NEMHS	SE2	0-30	18	1133
2016-01-15	Hold-NEMHS	WC1	180-365	6	304.2
2015-11-26	Hold-NEMHS	CDS	90-180	16	374
2015-12-02	Hold-NEMHS	CDS	0-30	141	3163.05
2015-12-21	Write off	BR7	60-90	6	318
2015-11-25	Hold-NEMHS	VA1	90-180	7	875.72
2015-12-09	Hold-NEMHS	PN1	365+	1	42.2
2015-12-14	Manual Tracking	MP1	30-60	1	73
2015-11-29	Hold-NEMHS	SR3	0-30	28	1637.5
2015-11-23	Hold-NEMHS	PVT	30-60	275	19278.79
2015-12-23	Write off	PVT	90-180	7	418.55
2015-12-13	Hold-NEMHS	FE4	90-180	2	234
2015-12-07	Hold-NEMHS	FE4	90-180	2	234
2016-01-02	Write off	PVT	60-90	3	327
2016-01-08	Write off	PVT	60-90	2	230
2016-01-06	Manual Tracking	MP1	365+	6	382
2015-12-08	Hold-NEMHS	ML6	180-365	1	109
2016-01-16	Hold-NEMHS	HL1	30-60	2	118
2016-01-12	Hold-NEMHS	WS3	30-60	2	530
2016-01-10	Hold-NEMHS	HL1	30-60	2	118
2016-01-12	Billed	MP1	90-180	3	323
2016-01-07	Hold-NEMHS	SS1	30-60	8	316
2015-12-03	Hold-NEMHS	SS1	180-365	17	1161
2016-01-09	Hold-NEMHS	SR3	30-60	41	2501
2015-11-27	Hold-NEMHS	SS1	180-365	17	1161
2016-01-15	Hold-NEMHS	SR3	30-60	41	2525
2015-11-25	Hold-NEMHS	LOG	365+	5	43.25
2015-12-14	Hold-NEMHS	PN1	365+	1	42.2
2016-01-08	Write off	LOG	365+	4	131.5
2016-01-03	Hold-NEMHS	MP1	180-365	65	4773
2016-01-16	Hold-NEMHS	PN1	365+	1	42.2
2015-11-25	Hold-NEMHS	MR5	180-365	19	1687
2015-11-26	Write off	SR3	365+	3	163
2016-01-05	Write off	SE2	365+	2	98
2016-01-11	Hold-NEMHS	MP1	180-365	77	5624
2015-12-11	Hold-NEMHS	HE6	30-60	2	197
2015-12-14	Hold-NEMHS	PB1	30-60	8	592
2015-11-27	Hold-NEMHS	MP1	60-90	1	161
2015-11-25	Hold-NEMHS	TL1	365+	3	166.27
2015-11-26	Billed	LOG	90-180	1582	31875.76
2015-12-05	Hold-NEMHS	MP1	60-90	2	222
2015-12-24	Hold-NEMHS	WC1	0-30	11	715.25
2015-11-28	Write off	TL1	365+	1	15.55
2015-11-24	Billed	LOG	60-90	4960	111437.96
2015-11-25	Write off	SR3	180-365	2	130
2015-11-29	Hold-NEMHS	PVT	90-180	644	47982.8
2015-12-01	F	LOG	60-90	5	465
2015-12-24	Manual Tracking	LOG	365+	35	806.78
2015-11-28	Billed	LOG	180-365	246	4805.49
2015-12-21	Hold-NEMHS	SY4	180-365	41	3025
2016-01-04	Hold-NEMHS	ND2	60-90	6	294
2016-01-11	Hold-NEMHS	HE6	0-30	2	202
2015-12-23	Hold-NEMHS	SR1	90-180	4	228
2016-01-02	Hold-NEMHS	PVT	365+	46	5346.55
2015-12-13	Hold-NEMHS	SY4	180-365	76	5064
2016-01-16	Hold-NEMHS	PB1	30-60	10	656
2015-12-15	Hold-NEMHS	SR1	90-180	12	596
2016-01-14	Write off	VA1	365+	1	15.55
2015-11-25	Hold-NEMHS	TL1	30-60	10	1563.2
2015-12-02	Write off	MID	60-90	3	120.26
2016-01-05	Hold-NEMHS	BR3	60-90	6	598
2016-01-05	Billed	PB1	180-365	1	61
2015-12-15	Hold-NEMHS	MP1	30-60	4	216
2016-01-16	Hold-NEMHS	SE2	60-90	2	90
2015-12-25	Hold-NEMHS	BR3	180-365	11	839.9
2015-12-26	Write off	LOG	180-365	257	5162.42
2015-11-24	Write off	MID	60-90	3	120.26
2015-12-19	Hold-NEMHS	PB1	90-180	11	831
2016-01-12	Hold-NEMHS	SR1	0-30	26	1190.5
2016-01-13	Hold-NEMHS	BR3	60-90	6	598
2016-01-13	Billed	PB1	180-365	1	61
2016-01-16	Write off	PVT	30-60	18	1562.9
2015-12-29	Write off	LOG	30-60	2	36.5
2016-01-03	Hold-NEMHS	HE6	0-30	2	214
2015-11-25	Hold-NEMHS	HE6	90-180	2	210
2015-12-21	Hold-NEMHS	FE4	365+	2	186
2015-12-13	Hold-NEMHS	PVT	0-30	321	19766.4036
2015-12-04	Hold-NEMHS	TL1	90-180	27	4428.1
2016-01-05	Hold-NEMHS	MRC	30-60	2	142
2015-12-07	Hold-NEMHS	PVT	90-180	629	44936.25
2015-12-27	Hold-NEMHS	PB1	90-180	2	234
2015-12-17	Hold-NEMHS	BR3	180-365	10	714.9
2015-12-21	Hold-NEMHS	PVT	0-30	291	19544.86
2015-12-23	Hold-NEMHS	MP1	30-60	3	163
2015-12-13	Hold-NEMHS	FE4	365+	2	186
2016-01-06	Write off	FAC	365+	14	738
2016-01-13	Hold-NEMHS	MRC	30-60	1	53
2016-01-01	Hold-NEMHS	MP1	90-180	18	1522
2015-12-12	Rebill	LOG	365+	6	135.23
2016-01-03	Write off	LOG	180-365	273	5514.65
2015-12-16	Write off	MID	90-180	66	2424.68
2015-12-17	Hold-NEMHS	SS1	0-30	4	170
2015-12-19	Hold-NEMHS	SR3	0-30	41	2894.25
2015-12-05	Write off	LOG	90-180	97	2044.46
2015-12-06	Manual Tracking	MP1	60-90	3	179
2016-01-12	Write off	KE3	180-365	6	518
2016-01-02	Hold-NEMHS	ER2	180-365	2	226
2016-01-01	Write off	MR4	0-30	2	418
2016-01-15	Write off	LOG	90-180	1921	38980.96
2015-12-03	Manual Tracking	MP1	30-60	1	73
2015-12-12	Hold-NEMHS	TL1	90-180	11	2332.94
2015-12-22	Hold-NEMHS	PB1	30-60	7	527
2015-11-25	Write off	SE2	365+	2	98
2015-12-21	Hold-NEMHS	MR5	0-30	4	420
2015-11-26	Hold-NEMHS	FA1	30-60	2	106
2016-01-04	Hold-NEMHS	SR1	0-30	10	337
2016-01-17	Billed	PVT	365+	1	41
2016-01-07	Manual Tracking	PVT	60-90	1	45
2015-12-13	Hold-NEMHS	MR5	0-30	4	129
2015-12-25	Manual Tracking	MP1	30-60	1	73
2015-12-27	Hold-NEMHS	SR3	0-30	37	2476.75
2016-01-10	Hold-NEMHS	WS3	30-60	2	530
2015-11-23	Billed	MP1	90-180	4	468
2015-12-14	Rebill	LOG	180-365	30	719.76
2015-12-15	Write off	LOG	30-60	2	36.5
2015-12-18	Hold-NEMHS	LOG	90-180	657	14022.8
2015-12-18	Hold-NEMHS	PVT	60-90	180	10227.29
2016-01-14	Hold-NEMHS	SE2	180-365	58	3806
2016-01-10	Hold-NEMHS	SE2	60-90	10	514
2015-11-24	Hold-NEMHS	FE4	365+	2	186
2015-12-09	Hold-NEMHS	TL1	30-60	11	1076.9
2016-01-17	Hold-NEMHS	PB1	60-90	2	146
2015-12-19	Hold-NEMHS	PVT	0-30	301	20391.86
2015-12-20	Hold-NEMHS	HL1	0-30	12	959
2015-12-21	Manual Tracking	MP1	365+	4	284
2015-12-09	Hold-NEMHS	LOG	30-60	34	872.35
2016-01-06	Hold-NEMHS	SS1	30-60	8	316
2015-12-24	Write off	LOG	90-180	95	2018.46
2015-12-27	Hold-NEMHS	FE4	365+	2	186
2016-01-14	Hold-NEMHS	SR3	30-60	41	2525
2016-01-10	Hold-NEMHS	BR7	365+	2	114
2016-01-13	Billed	LOG	365+	40	352.5
2015-12-25	Hold-NEMHS	BR3	60-90	4	388
2015-11-30	Hold-NEMHS	CDR	60-90	351	9294.75
2015-12-16	Billed	LOG	0-30	6854	142690.39
2015-11-29	Hold-NEMHS	TL1	180-365	11	2008.42
2015-12-25	Billed	LOG	180-365	250	4789.77
2015-12-21	Hold-NEMHS	KE3	180-365	33	3209
2015-12-22	Hold-NEMHS	CDR	60-90	688	19490.5
2015-12-22	Billed	LOG	365+	37	277.5
2015-12-17	Write off	PVT	90-180	7	710.55
2016-01-06	Hold-NEMHS	CDR	90-180	666	16574
2016-01-12	Hold-NEMHS	CDR	90-180	462	13210
2015-12-30	Hold-NEMHS	OH2	180-365	1	77
2015-12-20	Hold-NEMHS	PN1	365+	1	42.2
2015-12-01	Hold-NEMHS	LOG	365+	5	43.25
2016-01-02	Hold-NEMHS	PB1	30-60	4	380
2016-01-17	Hold-NEMHS	SK2	0-30	5	218
2015-12-12	Hold-NEMHS	PVT	60-90	170	10865.54
2015-12-12	Hold-NEMHS	LOG	90-180	744	15839.18
2016-01-08	Billed	MP1	30-60	41	2833
2016-01-09	Hold-NEMHS	MRC	0-30	4	138
2015-11-29	Hold-NEMHS	SR3	90-180	3	195
2016-01-10	Hold-NEMHS	PN1	365+	1	42.2
2016-01-17	Billed	MP1	90-180	7	487
2015-12-14	Hold-NEMHS	HL1	0-30	6	514
2015-12-01	Hold-NEMHS	MR5	180-365	19	1687
2016-01-12	Hold-NEMHS	SS1	30-60	4	170
2015-12-03	Hold-NEMHS	MP1	60-90	2	222
2015-11-26	Hold-NEMHS	WC1	60-90	12	822
2015-12-10	Hold-NEMHS	WC1	0-30	11	1007.5
2016-01-13	Hold-NEMHS	TL1	60-90	5	366.68
2016-01-09	Write off	TL1	180-365	2	160.84
2016-01-03	Write off	TL1	180-365	2	160.84
2015-12-22	Billed	WC1	30-60	1	57
2015-12-07	Write off	TL1	180-365	2	160.84
2015-12-31	Write off	TL1	365+	1	15.55
2015-12-07	Hold-NEMHS	FE4	0-30	2	205.5
2015-12-23	Write off	PVT	0-30	18	1562.9
2015-12-25	Write off	MID	180-365	1	169
2016-01-08	Billed	PVT	180-365	2	174
2015-11-27	Manual Tracking	LOG	365+	3	34.5
2015-12-21	Hold-NEMHS	SY4	60-90	2	114
2015-12-23	Hold-NEMHS	FE4	180-365	5	485
2015-11-25	Hold-NEMHS	FAC	180-365	1	65
2015-11-29	Write off	BR7	30-60	8	424
2015-12-29	Hold-NEMHS	FE4	180-365	5	485
2015-12-18	Hold-NEMHS	MRC	0-30	3	198
2015-12-04	Billed	TL1	180-365	1	257.52
2015-12-08	Write off	MID	60-90	3	120.26
2015-12-30	Hold-NEMHS	BR3	60-90	6	598
2015-11-23	Hold-NEMHS	SR3	90-180	2	130
2016-01-07	Hold-NEMHS	BR3	60-90	6	598
2015-12-13	Hold-NEMHS	PB1	90-180	11	807
2015-12-01	Hold-NEMHS	FE4	180-365	8	688
2016-01-15	Manual Tracking	MID	0-30	1	67.19
2015-12-21	Hold-NEMHS	PB1	90-180	11	831
2016-01-06	Manual Tracking	LE2	30-60	1	98.8
2015-12-12	Billed	LOG	180-365	249	4827.99
2015-12-30	Hold-NEMHS	MRC	30-60	3	227
2015-12-20	Write off	TL1	180-365	2	160.84
2016-01-07	Hold-NEMHS	MRC	30-60	2	142
2015-12-22	Billed	PB1	180-365	1	61
2015-11-28	Hold-NEMHS	LOG	90-180	1320	28337.02
2015-11-23	Hold-NEMHS	TL1	180-365	13	2090.42
2016-01-07	Hold-NEMHS	PR1	180-365	4	312
2015-12-15	F	LOG	60-90	2	186
2015-11-28	Hold-NEMHS	KE3	60-90	12	828
2016-01-15	Hold-NEMHS	VA1	90-180	7	406.08
2015-12-16	Billed	LOG	365+	35	236.5
2015-12-09	Hold-NEMHS	MR5	180-365	19	1687
2015-12-30	Hold-NEMHS	PR1	180-365	5	365
2016-01-05	Billed	PVT	180-365	2	174
2015-12-26	Hold-NEMHS	SY4	60-90	6	342
2015-12-31	Hold-NEMHS	LOG	90-180	690	14474.38
2015-12-31	Write off	VA1	365+	1	15.55
2015-12-19	Hold-NEMHS	SY4	180-365	41	3025
2015-12-19	Hold-NEMHS	PVT	365+	30	3659.4
2015-12-02	Manual Tracking	LOG	365+	7	119.5
2015-12-05	Hold-NEMHS	SY4	0-30	13	733.25
2015-12-04	Hold-NEMHS	CR5	365+	2	102
2015-12-12	Write off	TL1	365+	1	15.55
2015-12-28	Write off	PVT	30-60	19	1619.9
2015-12-22	Hold-NEMHS	MID	0-30	5	198.2
2015-12-17	Write off	FAC	365+	14	738
2015-12-20	Hold-NEMHS	MP1	180-365	71	5115
2016-01-13	Write off	PVT	90-180	31	2758.25
2016-01-10	Hold-NEMHS	HE6	60-90	2	186
2015-12-20	Write off	BR7	60-90	6	318
2015-12-19	Hold-NEMHS	SE2	60-90	2	0
2015-12-20	Hold-NEMHS	PB1	30-60	18	1418
2015-11-23	Billed	LOG	30-60	8892	197880.21
2015-12-02	Billed	LOG	90-180	1615	33092.11
2015-12-09	Hold-NEMHS	BR3	0-30	2	122
2015-12-10	Write off	LOG	90-180	95	2018.46
2015-12-12	Manual Tracking	PVT	180-365	3	105.25
2016-01-01	Hold-NEMHS	TL1	90-180	10	2692.74
2015-12-26	Hold-NEMHS	TL1	90-180	12	2813.1
2015-12-19	Hold-NEMHS	MP1	90-180	19	1675
2015-12-10	Hold-NEMHS	MP1	30-60	21	1573.5
2015-12-07	Manual Tracking	MP1	365+	4	284
2015-12-03	Hold-NEMHS	SS1	0-30	8	326
2015-12-13	Hold-NEMHS	MP1	90-180	19	1571
2015-12-28	Hold-NEMHS	PB1	30-60	7	607
2015-12-23	Hold-NEMHS	TL1	30-60	3	215.96
2015-11-26	Hold-NEMHS	MP1	30-60	23	1227
2015-12-02	Hold-NEMHS	MP1	30-60	29	1465
2015-12-29	Hold-NEMHS	SR1	0-30	6	250.5
2016-01-10	Hold-NEMHS	SR3	0-30	35	1852
2015-12-14	Hold-NEMHS	KE3	90-180	3	183
2015-12-28	Hold-NEMHS	PVT	365+	39	4516
2016-01-09	Hold-NEMHS	TL1	90-180	10	2692.74
2015-12-22	Hold-NEMHS	PVT	365+	35	4232.4
2016-01-10	Hold-NEMHS	BR7	0-30	6	188
2015-12-23	Write off	FAC	365+	14	738
2015-12-13	Hold-NEMHS	SY4	60-90	6	330
2015-12-22	Hold-NEMHS	KE3	90-180	2	138
2016-01-15	Hold-NEMHS	MP1	0-30	99	5081.2
2016-01-06	Hold-NEMHS	SR1	0-30	12	419
2016-01-02	Write off	MID	180-365	19	692.47
2015-12-17	Hold-NEMHS	BR3	60-90	4	388
2016-01-01	Hold-NEMHS	VA1	180-365	23	2786.11
2015-11-28	Rebill	LOG	365+	5	116.98
2016-01-15	Hold-NEMHS	MRC	60-90	10	777.4
2015-11-24	Manual Tracking	PN1	0-30	1	25.67
2015-12-21	Write off	MID	30-60	3	165.24
2015-12-15	Hold-NEMHS	LOG	365+	5	43.25
2015-12-15	Hold-NEMHS	BR3	0-30	2	122
2015-12-01	Hold-NEMHS	LOG	30-60	37	945.46
2015-12-28	Hold-NEMHS	HL1	0-30	16	1614
2016-01-09	Write off	LOG	180-365	275	5552.65
2016-01-15	Write off	SG2	90-180	2	82
2015-12-19	Hold-NEMHS	KE3	180-365	33	3209
2015-12-13	Hold-NEMHS	KE3	180-365	59	5027
2015-11-25	Write off	MRC	365+	2	20
2016-01-05	Hold-NEMHS	PR1	180-365	5	365
2015-12-15	Hold-NEMHS	MR5	180-365	18	1614
2015-12-06	Write off	SR3	90-180	6	390
2015-12-18	Billed	MP1	0-30	21	1513
2015-11-27	Write off	MID	90-180	65	2399.01
2015-12-23	Write off	PVT	60-90	2	194
2016-01-16	Hold-NEMHS	CR5	90-180	16	812
2016-01-10	Hold-NEMHS	PB1	30-60	6	534
2015-12-13	Write off	BR7	30-60	4	212
2015-12-08	Hold-NEMHS	FE4	365+	2	186
2015-12-19	Hold-NEMHS	SY4	60-90	2	114
2015-11-28	Billed	TL1	180-365	1	257.52
2016-01-08	Write off	MID	180-365	57	2087.49
2015-11-27	Write off	LOG	0-30	2	36.5
2016-01-14	Hold-NEMHS	SY4	30-60	4	220
2016-01-11	Hold-NEMHS	FAC	0-30	1	0
2015-11-25	Hold-NEMHS	LOG	30-60	71	1482.78
2015-12-09	Hold-NEMHS	LOG	365+	5	43.25
2015-12-07	Hold-NEMHS	TL1	180-365	14	2325.58
2015-12-26	Write off	TL1	180-365	2	160.84
2015-12-04	Hold-NEMHS	LOG	90-180	806	17015.47
2015-12-04	Hold-NEMHS	PVT	60-90	198	14214.04
2015-12-22	Hold-NEMHS	HL1	0-30	12	1169
2015-12-02	Manual Tracking	LOG	0-30	70	1071.04
2015-12-10	Hold-NEMHS	WC1	60-90	12	822
2016-01-05	Hold-NEMHS	TL1	60-90	5	366.68
2015-12-30	Hold-NEMHS	TL1	60-90	2	150.72
2016-01-08	Billed	PB1	180-365	1	61
2015-12-02	Manual Tracking	MP1	180-365	6	358
2015-12-05	Billed	MP1	365+	4	224
2016-01-11	Hold-NEMHS	MID	365+	1	25.67
2015-12-23	Hold-NEMHS	MID	60-90	1	53
2015-11-27	Hold-NEMHS	VA1	180-365	21	2224.11
2016-01-17	Hold-NEMHS	MID	365+	1	25.67
2015-12-09	Write off	MID	0-30	4	192.64
2015-12-09	Hold-NEMHS	FE4	180-365	8	688
2016-01-05	Write off	BR7	365+	1	49
2015-12-15	Hold-NEMHS	FE4	180-365	8	688
2016-01-01	Hold-NEMHS	MRC	0-30	3	202
